label,Te_eV,n_lower,n_upper,Upsilon_interp,K_CCC_stored,K_And2002,pct_err
1S->3S,8.685113737513525,1,3,0.08580921787296143,2.2453802085349155e-10,2.8974373725234324e-10,-22.50461632655163
1S->3S,9.102981779915218,1,3,0.08620432320867427,2.346171587748597e-10,3.0308617458800533e-10,-22.59061004884757
1S->3S,9.54095476349994,1,3,0.08660124779213436,2.4453614994539406e-10,3.161140779789362e-10,-22.643068758966066
1S->3S,10.0,1,3,0.08699999999999998,2.542753455572686e-10,3.287802259224227e-10,-22.66099798311285
1S->3P,1.0,1,3,0.12600000000000003,2.4507666314106138e-14,2.822395639922003e-14,-13.167147909910293
1S->3P,1.0481131341546857,1,3,0.12811658789134542,4.2093050035713254e-14,4.883784395896507e-14,-13.810589036074116
1S->3P,1.0985411419875581,1,3,0.1302687308961971,7.050469547238818e-14,8.238101379250366e-14,-14.416329410595552
1S->3P,1.1513953993264474,1,3,0.1324570262806084,1.1530197446882711e-13,1.3562442463277312e-13,-14.984358620486393
1S->3P,1.2067926406393286,1,3,0.13468208134369694,1.8431262668073046e-13,2.181592132379362e-13,-15.514626246974428
1S->3P,1.264855216855296,1,3,0.13694451358618318,2.8829655558682983e-13,3.432389587891062e-13,-16.007041682012037
1S->3P,1.3257113655901092,1,3,0.13924495088176014,4.4170776184446185e-13,5.287473741214649e-13,-16.461474143795574
1S->3P,1.3894954943731377,1,3,0.14158403165134206,6.635395043153846e-13,7.982694503123026e-13,-16.877752987316285
1S->3P,1.4563484775012439,1,3,0.14396240504023963,9.782286226624613e-13,1.1822303761268526e-12,-17.255668403033997
1S->3P,1.5264179671752334,1,3,0.14638073109831212,1.4165861392080326e-12,1.7190530526403306e-12,-17.594972590737246
1S->3P,1.599858719606058,1,3,0.14883968096314523,2.0167136808809822e-12,2.456273127339176e-12,-17.895381485297545
1S->3P,1.676832936811008,1,3,0.15133993704630636,2.8248597717726337e-12,3.4515415796561085e-12,-18.15657709520955
1S->3P,1.7575106248547918,1,3,0.15388219322272853,3.896167329386848e-12,4.773440220935466e-12,-18.378210492739676
1S->3P,1.842069969326716,1,3,0.15646715502327535,5.295264189395236e-12,6.502035907121809e-12,-18.55990546599061
1S->3P,1.93069772888325,1,3,0.15909553983054142,7.0966523151389156e-12,8.72910522392961e-12,-18.70126280887937
1S->3P,2.023589647725157,1,3,0.1617680770779413,9.384858329301106e-12,1.1557972791927747e-11,-18.801865186465704
1S->3P,2.120950887920191,1,3,0.1644855084521429,1.2254317652388902e-11,1.510292253296945e-11,-18.861282472727293
1S->3P,2.2229964825261948,1,3,0.16724858809890158,1.5808976130490264e-11,1.9488161164195142e-11,-18.879077418881906
1S->3P,2.329951810515372,1,3,0.170058082832352,2.016160572231955e-11,2.4846335425566668e-11,-18.85481147624921
1S->3P,2.442053094548651,1,3,0.17291477234781524,2.543284368292811e-11,3.131662749389685e-11,-18.788050571905945
1S->3P,2.5595479226995357,1,3,0.17581944943818137,3.174997686244871e-11,3.904247505236486e-11,-18.67837062106141
1S->3P,2.6826957952797255,1,3,0.17877292021392635,3.9245503487605964e-11,4.8168982054316014e-11,-18.525362559349524
1S->3P,2.8117686979742302,1,3,0.1817760043268252,4.80555135409473e-11,5.884010208059689e-11,-18.32863669216155
1S->3P,2.9470517025518106,1,3,0.18482953519742287,5.831793522919439e-11,7.11956874224575e-11,-18.08782618650724
1S->3P,3.088843596477481,1,3,0.18886243675590586,7.017069887259988e-11,8.579007850041953e-11,-18.206510473985958
1S->3P,3.237457542817644,1,3,0.19356425905257205,8.374987087069124e-11,1.0279457804116674e-10,-18.526956901217652
1S->3P,3.393221771895328,1,3,0.19838313550404613,9.918780937594081e-11,1.2215750449760756e-10,-18.803343450845144
1S->3P,3.5564803062231287,1,3,0.20332198023049117,1.1661139021580655e-10,1.4402947650279196e-10,-19.036440979117163
1S->3P,3.72759372031494,1,3,0.20838377990051019,1.3614034679533048e-10,1.6854692467749529e-10,-19.227035998534483
1S->3P,3.906939937054617,1,3,0.21357159553727498,1.5788576157150951e-10,1.9582955375574447e-10,-19.375927410610217
1S->3P,4.094915062380425,1,3,0.21888856436961918,1.819487396077169e-10,2.259781473766375e-10,-19.483922795214724
1S->3P,4.2919342601287775,1,3,0.2243379017292153,2.0841928706896523e-10,2.590727653987081e-10,-19.551834501703848
1S->3P,4.498432668969445,1,3,0.2299229029949831,2.373754096585547e-10,2.9517136788682074e-10,-19.58047579005937
