i,j,Te,ups_2000,ups_2002,pct
13,3,10.0,6.16,5.9,-4.220779220779214
13,3,15.0,7.59,7.08,-6.719367588932801
13,3,20.0,8.75,8.01,-8.457142857142863
13,3,25.0,9.72,8.77,-9.773662551440342
14,3,0.5,1.65,1.71,3.6363636363636376
14,3,1.0,1.99,2.02,1.5075376884422065
14,3,3.0,2.9,2.9,0.0
14,3,5.0,3.48,3.47,-0.2873563218390718
14,3,10.0,4.23,4.17,-1.4184397163120699
14,3,15.0,4.59,4.46,-2.8322440087145906
14,3,20.0,4.8,4.6,-4.166666666666674
14,3,25.0,4.93,4.68,-5.070993914807298
15,3,0.5,0.813,0.844,3.8130381303812966
15,3,1.0,0.889,0.909,2.249718785151855
15,3,3.0,0.91,0.915,0.5494505494505475
15,3,5.0,0.89,0.888,-0.22471910112359383
15,3,10.0,0.846,0.814,-3.78250591016549
15,3,15.0,0.818,0.751,-8.190709046454758
15,3,20.0,0.799,0.701,-12.265331664580737
15,3,25.0,0.786,0.661,-15.903307888040707
7,4,0.5,2.57,2.62,1.945525291828809
7,4,1.0,4.38,4.31,-1.5981735159817378
7,4,3.0,10.9,10.8,-0.917431192660545
7,4,5.0,15.2,15.4,1.3157894736842257
7,4,10.0,21.2,22.2,4.716981132075482
7,4,15.0,24.2,26.2,8.264462809917351
7,4,20.0,25.9,28.8,11.196911196911197
7,4,25.0,27.1,30.7,13.284132841328411
8,4,0.5,4.32,4.5,4.166666666666652
8,4,1.0,6.09,5.95,-2.298850574712641
8,4,3.0,15.4,15.2,-1.2987012987013102
8,4,5.0,25.8,25.7,-0.3875968992248069
8,4,10.0,48.9,48.8,-0.2044989775051187
8,4,15.0,67.2,67.1,-0.14880952380953438
8,4,20.0,82.3,82.1,-0.243013365735123
8,4,25.0,95.0,94.6,-0.42105263157895534
9,4,0.5,6.21,6.41,3.2206119162640823
9,4,1.0,10.2,10.1,-0.9803921568627416
9,4,3.0,23.0,22.9,-0.43478260869566077
9,4,5.0,32.2,32.4,0.6211180124223503
9,4,10.0,45.5,47.2,3.736263736263745
