label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
4P->5S,3.0,interp,4,5,2.8124762535716465e-07,2.053275941415419e-07,36.975074652307825
4P->5S,5.0,interp,4,5,3.4235532393141795e-07,1.9375226774861798e-07,76.69745387218052
4P->5S,10.0,exact,4,5,3.8570209696763053e-07,1.8261760334636492e-07,111.20751225503808
4P->5P,1.0,exact,4,5,3.9458201392773716e-07,7.411795323828849e-07,-46.76296407441799
4P->5P,3.0,interp,4,5,6.15062658810164e-07,1.2180450499921977e-06,-49.50411244525776
4P->5P,5.0,interp,4,5,6.781681903047469e-07,1.274833761708298e-06,-46.80340208467726
4P->5P,10.0,exact,4,5,7.294342642372235e-07,1.183329313163665e-06,-38.35745839109994
4P->5D,1.0,exact,4,5,9.298624095509862e-07,6.930126927452704e-07,34.17682234180586
4P->5D,3.0,interp,4,5,2.9057809326566022e-06,1.294607881705993e-06,124.45259091327765
4P->5D,5.0,interp,4,5,3.8356867724799385e-06,1.5668661652714325e-06,144.79989787867248
4P->5D,10.0,exact,4,5,4.576835266168132e-06,1.8630271193407184e-06,145.6665938275642
4P->5F,1.0,exact,4,5,8.702616106177638e-07,1.130446236392994e-06,-23.016099076540108
4P->5F,3.0,interp,4,5,1.6010541159504045e-06,1.6774220402749695e-06,-4.5526958923257315
4P->5F,5.0,interp,4,5,1.769250940690618e-06,1.7690424446612947e-06,0.011785812711995192
4P->5F,10.0,exact,4,5,1.74146131145285e-06,1.695149950345181e-06,2.73199200449723
4P->5G,1.0,exact,4,5,5.992406579597927e-07,9.770987469344663e-07,-38.67143317501526
4P->5G,3.0,interp,4,5,7.399591421753747e-07,1.1345219608498757e-06,-34.777891683906425
4P->5G,5.0,interp,4,5,7.404238276839261e-07,1.095121513361754e-06,-32.388888479506996
4P->5G,10.0,exact,4,5,6.910586975100536e-07,9.499391026088937e-07,-27.25231589981465
4D->5S,1.0,exact,4,5,5.127866945455346e-08,9.436768582063253e-08,-45.6607746511657
4D->5S,3.0,interp,4,5,5.953719217221115e-08,7.934693468520603e-08,-24.965983363549316
4D->5S,5.0,interp,4,5,5.8035283032938045e-08,6.806601406125362e-08,-14.736768660037548
4D->5S,10.0,exact,4,5,5.102043785652801e-08,5.355691147467384e-08,-4.7360341519045335
4D->5P,1.0,exact,4,5,2.0648831527521024e-07,3.5682781200926676e-07,-42.13222503243448
4D->5P,3.0,interp,4,5,2.744026921294217e-07,3.5121458984346456e-07,-21.870360723988636
4D->5P,5.0,interp,4,5,2.909446075858504e-07,3.0326441908479336e-07,-4.062399254130211
4D->5P,10.0,exact,4,5,2.9131937977650566e-07,2.400234060126438e-07,21.371238170480655
4D->5D,1.0,exact,4,5,4.761846689859277e-07,9.377788778425357e-07,-49.22207353598716
4D->5D,3.0,interp,4,5,6.135287784421835e-07,1.3990117431338958e-06,-56.145559073876605
4D->5D,5.0,interp,4,5,6.357926590380875e-07,1.4084947464160403e-06,-54.860132729931564
4D->5D,10.0,exact,4,5,6.517639989243703e-07,1.2529369198203513e-06,-47.98110035596831
4D->5F,1.0,exact,4,5,1.430799402923774e-06,1.150106170938959e-06,24.40585391830861
4D->5F,3.0,interp,4,5,4.491756040724958e-06,2.242594943471349e-06,100.29279267757984
4D->5F,5.0,interp,4,5,5.95278846988474e-06,2.7293797717631403e-06,118.10040989786201
4D->5F,10.0,exact,4,5,7.155152045761057e-06,3.19376077601266e-06,124.03531596671766
4D->5G,1.0,exact,4,5,1.046610591636442e-06,1.5393728749490681e-06,-32.01058634536027
4D->5G,3.0,interp,4,5,1.7241826053657184e-06,2.0003779849586153e-06,-13.807159530333013
4D->5G,5.0,interp,4,5,1.8732636668784441e-06,2.0588284451200972e-06,-9.01312485173229
4D->5G,10.0,exact,4,5,1.8483410950027042e-06,1.9457373343092513e-06,-5.005621138534789
4F->5S,1.0,exact,4,5,2.1162176585842865e-08,4.549870566351927e-08,-53.48839867589763
4F->5S,3.0,interp,4,5,1.553982712794015e-08,2.8517169007164275e-08,-45.50711845191881
4F->5S,5.0,interp,4,5,1.2590722451932724e-08,2.098782328904285e-08,-40.00939364442817
4F->5S,10.0,exact,4,5,9.072545987238167e-09,1.3494516685460088e-08,-32.76864819461414
4F->5P,1.0,exact,4,5,8.203500800929807e-08,1.7062014623819726e-07,-51.91950668312542
4F->5P,3.0,interp,4,5,6.503869062852664e-08,1.1842380853393534e-07,-45.07971713315633
4F->5P,5.0,interp,4,5,5.445131193975069e-08,8.905383735029649e-08,-38.85573765275887
4F->5P,10.0,exact,4,5,4.105733145689533e-08,5.825981195803316e-08,-29.527181642002986
4F->5D,1.0,exact,4,5,2.109033874355042e-07,4.3392284105023005e-07,-51.39610836685814
4F->5D,3.0,interp,4,5,2.086231462511659e-07,3.9375170595666154e-07,-47.01657336460452
4F->5D,5.0,interp,4,5,1.9232543305033957e-07,3.17705581898355e-07,-39.46425747348968
4F->5D,10.0,exact,4,5,1.647630518509357e-07,2.2110651526241497e-07,-25.482498037024992
4F->5F,1.0,exact,4,5,5.554952336788067e-07,1.1416804847049742e-06,-51.34407208314906
4F->5F,3.0,interp,4,5,6.144738773247226e-07,1.5750068238266462e-06,-60.98595459848275
4F->5F,5.0,interp,4,5,5.918867687558053e-07,1.5644593048025059e-06,-62.16668807307046
4F->5F,10.0,exact,4,5,5.53578839623999e-07,1.34067760048004e-06,-58.70902598612927
4F->5G,1.0,exact,4,5,2.697779992160219e-06,3.0880140047555207e-06,-12.637054495036093
4F->5G,3.0,interp,4,5,7.640353101578856e-06,5.2500227460888206e-06,45.52990474699927
4F->5G,5.0,interp,4,5,1.00061641942182e-05,5.920876753560252e-06,68.99801517066612
4F->5G,10.0,exact,4,5,1.2032655910091519e-05,6.387521552025322e-06,88.37753911415402
