label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
3S->4P,5.0,interp,3,4,6.343516791764976e-07,4.032964171856222e-07,57.291672364282206
3S->4P,10.0,exact,3,4,9.589001152795113e-07,5.785221614257958e-07,65.74993651345275
3S->4D,1.0,exact,3,4,2.008356347510787e-07,2.0878828786057347e-07,-3.808955564981431
3S->4D,3.0,interp,3,4,4.3054176571454184e-07,4.247687095214333e-07,1.3591058059838623
3S->4D,5.0,interp,3,4,5.216631044633752e-07,5.084359500705899e-07,2.6015379893866486
3S->4D,10.0,exact,3,4,5.749257421898114e-07,5.595542217069174e-07,2.7471011542015145
3S->4F,1.0,exact,3,4,2.0659999434873433e-07,2.1912434171505732e-07,-5.715634907695133
3S->4F,3.0,interp,3,4,3.3161000106645873e-07,3.6355749810568095e-07,-8.78746751358035
3S->4F,5.0,interp,3,4,3.4764141153251886e-07,3.8917319635032805e-07,-10.671799909987346
3S->4F,10.0,exact,3,4,3.314499200198286e-07,3.7580230568028134e-07,-11.80205256595368
3S->5S,1.0,exact,3,5,1.4208747904957436e-08,2.4200876564939986e-08,-41.2882923193709
3S->5S,3.0,interp,3,5,3.172833278527543e-08,4.8740849561309796e-08,-34.90402184031443
3S->5S,5.0,interp,3,5,3.587875977053227e-08,5.284259170450732e-08,-32.102573675484734
3S->5S,10.0,exact,3,5,3.629588758018772e-08,5.2083876618237885e-08,-30.31262275996135
3S->5P,1.0,exact,3,5,3.0619346740442806e-08,5.266354271364298e-08,-41.85855116710449
3S->5P,3.0,interp,3,5,6.716928892450634e-08,9.329434091288508e-08,-28.002826037190598
3S->5P,5.0,interp,3,5,9.717332620345578e-08,1.0863728350423852e-07,-10.552507326212247
3S->5P,10.0,exact,3,5,1.472969962035084e-07,1.2877249848217755e-07,14.385445603429602
3S->5D,1.0,exact,3,5,3.506447865383358e-08,6.484008438153731e-08,-45.92160237253191
3S->5D,3.0,interp,3,5,6.364459783909929e-08,1.0284151763107976e-07,-38.11390642113081
3S->5D,5.0,interp,3,5,7.327708156126402e-08,1.0538997339949225e-07,-30.470537948141228
3S->5D,10.0,exact,3,5,8.069751006694568e-08,9.956873543354086e-08,-18.95296277935673
3S->5F,1.0,exact,3,5,2.9032870616453586e-08,5.190250885939959e-08,-44.062683568723656
3S->5F,3.0,interp,3,5,4.216068694650133e-08,6.900766329642487e-08,-38.90434057243961
3S->5F,5.0,interp,3,5,4.0603755792081535e-08,6.568422711873117e-08,-38.18340022683686
3S->5F,10.0,exact,3,5,3.483926164043767e-08,5.438338551970534e-08,-35.93767414900279
3S->5G,1.0,exact,3,5,4.640829206360779e-08,7.336366354906336e-08,-36.742128434505794
3S->5G,3.0,interp,3,5,8.718800970690351e-08,1.1238869434927448e-07,-22.42279331411562
3S->5G,5.0,interp,3,5,9.030029360056285e-08,1.1557471872801462e-07,-21.868472106716364
3S->5G,10.0,exact,3,5,8.1459599590346e-08,1.0531750768720949e-07,-22.653316263161983
3P->4S,1.0,exact,3,4,3.3539183402078754e-08,3.362662853992075e-08,-0.26004729477469013
3P->4S,3.0,interp,3,4,5.350882048417245e-08,4.717591344466574e-08,13.424026324227501
3P->4S,5.0,interp,3,4,6.508063297065412e-08,5.120975258427031e-08,27.086403832078698
3P->4S,10.0,exact,3,4,7.957372691944094e-08,5.5718322924205755e-08,42.81428934551019
3P->4P,1.0,exact,3,4,1.3790692836849535e-07,1.4263754319187694e-07,-3.3165285362619645
3P->4P,3.0,interp,3,4,2.3691006705962863e-07,2.776144840977053e-07,-14.66220941979055
3P->4P,5.0,interp,3,4,2.5879690730706857e-07,3.2378791470544765e-07,-20.07209177572359
