label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
2S->5F,1.0,2,5,3,3,False,6.317041470953312e-10,1.0603543635966898e-09,-40.42518531704723
2S->5F,3.0,2,5,3,3,False,3.97855983541179e-09,6.030946998476409e-09,-34.03092687737285
2S->5F,5.0,2,5,3,3,False,5.592906627055898e-09,8.233580084755972e-09,-32.071995784545024
2S->5F,10.0,2,5,3,3,False,6.720164795056079e-09,9.298893551137776e-09,-27.731565501856657
2S->5F,15.0,2,5,3,3,False,6.7201049520713565e-09,8.889695581369875e-09,-24.405679693299366
2S->5F,20.0,2,5,3,3,False,6.480917252920375e-09,8.30709530145519e-09,-21.983352571083604
2S->5F,25.0,2,5,3,3,False,6.196134279847379e-09,7.788353348164424e-09,-20.443590540127488
2S->5G,0.5,2,5,4,3,False,1.5592094725417023e-11,4.3899437111873744e-11,-64.48224453155976
2S->5G,1.0,2,5,4,3,False,2.4354562900342337e-10,5.842299530445969e-10,-58.31339565281885
2S->5G,3.0,2,5,4,3,False,1.283504079876568e-09,2.24822284558588e-09,-42.91028211920466
2S->5G,5.0,2,5,4,3,False,1.5897062326932461e-09,2.4983959225242326e-09,-36.370924305419926
2S->5G,10.0,2,5,4,3,False,1.5444094008473672e-09,2.246201512864396e-09,-31.243506337153658
2S->5G,15.0,2,5,4,3,False,1.34770184704887e-09,1.9147036636796656e-09,-29.613032417827778
2S->5G,20.0,2,5,4,3,False,1.1786853860532383e-09,1.661419060291038e-09,-29.055503561710495
2S->5G,25.0,2,5,4,3,False,1.045578594037595e-09,1.4647820517189971e-09,-28.618828117769823
2P->3S,0.5,2,3,0,1,True,8.350706508879527e-10,8.7959000287719e-10,-5.061375395765289
2P->3S,1.0,2,3,0,1,True,4.269803068631582e-09,4.478906161759793e-09,-4.668619649000494
2P->3S,3.0,2,3,0,1,True,9.097461507162213e-09,9.360860830562905e-09,-2.813836549526527
2P->3S,5.0,2,3,0,1,True,9.519679738926121e-09,9.614992393221494e-09,-0.991292040569558
2P->3S,10.0,2,3,0,1,True,9.642591589088195e-09,9.366325920681916e-09,2.9495628354790915
2P->3S,15.0,2,3,0,1,True,9.761365620435316e-09,9.178081593582029e-09,6.355184587388729
2P->3S,20.0,2,3,0,1,True,9.84128827353607e-09,9.071939270944196e-09,8.480535193351235
2P->3S,25.0,2,3,0,1,True,9.873229855146335e-09,8.962188420104162e-09,10.165390330318292
2P->3P,0.5,2,3,1,1,False,3.056674757566758e-09,3.1303055984747054e-09,-2.3521933751076918
2P->3P,1.0,2,3,1,1,False,1.557414580746369e-08,1.5978800360872775e-08,-2.5324463931595265
2P->3P,3.0,2,3,1,1,False,4.237336729321319e-08,4.393035565220311e-08,-3.544219790334957
2P->3P,5.0,2,3,1,1,False,5.1157196433679707e-08,5.441676545950888e-08,-5.990008774510114
2P->3P,10.0,2,3,1,1,False,5.720095229709376e-08,6.18596898492798e-08,-7.531136291722429
2P->3P,15.0,2,3,1,1,False,5.722625134133356e-08,6.199763725466006e-08,-7.6960770193994055
2P->3P,20.0,2,3,1,1,False,5.574715348065466e-08,6.057013345570527e-08,-7.962637194084509
2P->3P,25.0,2,3,1,1,False,5.3891949597415955e-08,5.86751009824499e-08,-8.151926975744983
2P->3D,0.5,2,3,2,1,True,5.21218712469166e-09,5.691464724499464e-09,-8.420988673525587
2P->3D,1.0,2,3,2,1,True,3.40668918486952e-08,3.591195030600194e-08,-5.137728365029448
2P->3D,3.0,2,3,2,1,True,1.4642975776340153e-07,1.5149814238937335e-07,-3.345509420798898
2P->3D,5.0,2,3,2,1,True,2.2283523919313645e-07,2.2830492576245078e-07,-2.395781234700778
2P->3D,10.0,2,3,2,1,True,3.405416015147513e-07,3.299183458628257e-07,3.2199651171694876
2P->3D,15.0,2,3,2,1,True,4.063246801094792e-07,3.738092834472151e-07,8.698391961379826
2P->3D,20.0,2,3,2,1,True,4.465045640429644e-07,3.9655782441851876e-07,12.595071020899319
2P->3D,25.0,2,3,2,1,True,4.7226693023872307e-07,4.0849753848541065e-07,15.610716282343006
2P->4S,0.5,2,4,0,2,True,8.315291476003416e-11,8.453746542091337e-11,-1.6377953301361825
2P->4S,1.0,2,4,0,2,True,7.77600390676339e-10,8.028492625194513e-10,-3.1449081442608384
2P->4S,3.0,2,4,0,2,True,2.346615243673355e-09,2.496339770338714e-09,-5.997762341664082
2P->4S,5.0,2,4,0,2,True,2.504240243824322e-09,2.6597273374507704e-09,-5.845978700037557
2P->4S,10.0,2,4,0,2,True,2.3607400460987402e-09,2.4566906527080155e-09,-3.905685337448117
2P->4S,15.0,2,4,0,2,True,2.2314685084887263e-09,2.2798787133923666e-09,-2.123367555443678
2P->4S,20.0,2,4,0,2,True,2.1445822389020734e-09,2.1574207771301576e-09,-0.5950873545012558
2P->4S,25.0,2,4,0,2,True,2.081134012937639e-09,2.066316042294378e-09,0.7171202439491209
2P->4P,0.5,2,4,1,2,False,2.477725101707542e-10,2.480990833005066e-10,-0.13163012350064784
2P->4P,1.0,2,4,1,2,False,2.2863376568565943e-09,2.353358408941582e-09,-2.8478769672457216
2P->4P,3.0,2,4,1,2,False,7.970609577541317e-09,8.859042192890686e-09,-10.028540286920961
2P->4P,5.0,2,4,1,2,False,9.713418981369003e-09,1.104037762715414e-08,-12.019141831901138
2P->4P,10.0,2,4,1,2,False,1.0975896646578655e-08,1.233252165207619e-08,-11.000386164083043
2P->4P,15.0,2,4,1,2,False,1.111089898106957e-08,1.2242716050231967e-08,-9.24482005887045
2P->4P,20.0,2,4,1,2,False,1.0916641762934916e-08,1.190391732082779e-08,-8.293703083483939
2P->4P,25.0,2,4,1,2,False,1.0613716866066552e-08,1.1476854563968773e-08,-7.520681673635687
2P->4D,0.5,2,4,2,2,True,3.9420328819947743e-10,4.0660683096471914e-10,-3.050500341032869
2P->4D,1.0,2,4,2,2,True,4.256112382889987e-09,4.488041921477088e-09,-5.167722197005887
2P->4D,3.0,2,4,2,2,True,2.1807501187033556e-08,2.5095130672798153e-08,-13.100666932681971
2P->4D,5.0,2,4,2,2,True,3.2449770301669886e-08,3.799610482072529e-08,-14.597113428400977
2P->4D,10.0,2,4,2,2,True,4.7589564195331824e-08,5.3320982209241886e-08,-10.748898044336219
2P->4D,15.0,2,4,2,2,True,5.5957567554701795e-08,5.932337468520953e-08,-5.673660927699875
2P->4D,20.0,2,4,2,2,True,6.119726698483782e-08,6.149043384268658e-08,-0.47676823780228306
2P->4D,25.0,2,4,2,2,True,6.466609736335633e-08,6.268870139982944e-08,3.1543099783085893
2P->4F,0.5,2,4,3,2,False,2.7907955365671945e-10,3.1242106785989723e-10,-10.671980104148904
2P->4F,1.0,2,4,3,2,False,3.0186732001602485e-09,3.342601987921451e-09,-9.690917103852769
2P->4F,3.0,2,4,3,2,False,1.4133285648107648e-08,1.6236088479907466e-08,-12.951412739602187
2P->4F,5.0,2,4,3,2,False,1.8655465072597444e-08,2.182983758096387e-08,-14.54143896670378
2P->4F,10.0,2,4,3,2,False,2.1233575702373693e-08,2.4926741376344976e-08,-14.816078917864617
2P->4F,15.0,2,4,3,2,False,2.079625395128571e-08,2.4223711329793892e-08,-14.14918354931265
2P->4F,20.0,2,4,3,2,False,1.9834840317230413e-08,2.291438389351398e-08,-13.439347052028939
2P->4F,25.0,2,4,3,2,False,1.883283610640913e-08,2.1579379904941284e-08,-12.727630778228448
2P->5S,0.5,2,5,0,3,True,1.7633908782205037e-11,2.8830410472053257e-11,-38.83573458207105
2P->5S,1.0,2,5,0,3,True,2.385979111118988e-10,3.910200473133129e-10,-38.980644918004096
2P->5S,3.0,2,5,0,3,True,9.088183340542754e-10,1.4125738778482713e-09,-35.662244056314464
2P->5S,5.0,2,5,0,3,True,1.008527599051654e-09,1.4767846343665507e-09,-31.707875638599802
2P->5S,10.0,2,5,0,3,True,9.614349285702457e-10,1.2785582057688583e-09,-24.803194392539307
2P->5S,15.0,2,5,0,3,True,8.99757768600563e-10,1.1311567775012309e-09,-20.45684678757238
