n,l,label,Te_eV,K_ion_cm3s,K_ion_Lotz
4,2,4D,1.0,7.533752608136712e-07,1.006357567942238e-06
4,2,4D,1.048113,7.896121085722402e-07,1.053906847628681e-06
4,2,4D,1.098541,8.256535149713798e-07,1.1013971880061348e-06
4,2,4D,1.151395,8.613930504420833e-07,1.1487176858117796e-06
4,2,4D,1.206793,8.967280531460241e-07,1.1957611940102011e-06
4,2,4D,1.264855,9.315602438218733e-07,1.242424746538242e-06
4,2,4D,1.325711,9.657962758350488e-07,1.2886099175085936e-06
4,2,4D,1.389495,9.99348217621604e-07,1.3342231175122821e-06
4,2,4D,1.456348,1.0321339653017346e-06,1.3791758301792903e-06
4,2,4D,1.526418,1.064077583840232e-06,1.4233847925523768e-06
4,2,4D,1.599859,1.095109575765269e-06,1.466772123113481e-06
4,2,4D,1.676833,1.125167077134071e-06,1.5092654014872797e-06
4,2,4D,1.757511,1.1541939811596684e-06,1.5507977039447182e-06
4,2,4D,1.84207,1.1821409906861436e-06,1.5913075988526733e-06
4,2,4D,1.930698,1.208965601512991e-06,1.6307391061758524e-06
4,2,4D,2.02359,1.234632019408503e-06,1.6690416250443072e-06
4,2,4D,2.120951,1.2591110144977063e-06,1.706169833264471e-06
4,2,4D,2.222996,1.2823797175380224e-06,1.7420835624825255e-06
4,2,4D,2.329952,1.3044213633780006e-06,1.7767476525142086e-06
4,2,4D,2.442053,1.3252249876022802e-06,1.8101317881420323e-06
4,2,4D,2.559548,1.3447850829709586e-06,1.8422103214556707e-06
4,2,4D,2.682696,1.3631012227376788e-06,1.872962082579193e-06
4,2,4D,2.811769,1.380177658256038e-06,1.902370181394583e-06
4,2,4D,2.947052,1.396022898442097e-06,1.930421802638307e-06
4,2,4D,3.088844,1.4106492786423145e-06,1.957107996519675e-06
4,2,4D,3.237458,1.4240725262594908e-06,1.98242346678895e-06
4,2,4D,3.393222,1.436311330120323e-06,2.0063663579714047e-06
4,2,4D,3.55648,1.44738692004115e-06,2.0289380432824057e-06
4,2,4D,3.727594,1.4573226623842722e-06,2.0501429145489766e-06
4,2,4D,3.90694,1.4661436766230457e-06,2.0699881752860143e-06
4,2,4D,4.094915,1.4738764770810097e-06,2.088483637910592e-06
4,2,4D,4.291934,1.4805486431122848e-06,2.10564152592581e-06
4,2,4D,4.498433,1.4861885200815042e-06,2.121476281766323e-06
4,2,4D,4.714866,1.490824952613947e-06,2.136004380870675e-06
4,2,4D,4.941713,1.4944870507490673e-06,2.1492441524305695e-06
4,2,4D,5.179475,1.4972039888670559e-06,2.161215607163673e-06
4,2,4D,5.428675,1.4990048365859377e-06,2.171940272363908e-06
4,2,4D,5.689866,1.4999184202570132e-06,2.1814410344008206e-06
4,2,4D,5.963623,1.4999732132235686e-06,2.189741988766918e-06
4,2,4D,6.250552,1.4991972526502708e-06,2.196868297708035e-06
4,2,4D,6.551286,1.4976180804720743e-06,2.202846055416325e-06
4,2,4D,6.866488,1.4952627058420952e-06,2.207702160717569e-06
4,2,4D,7.196857,1.4921575863658574e-06,2.211464197143558e-06
4,2,4D,7.54312,1.4883286253824512e-06,2.214160320245737e-06
4,2,4D,7.906043,1.4838011825799498e-06,2.2158191519773965e-06
4,2,4D,8.286428,1.4786000953032678e-06,2.216469681948055e-06
4,2,4D,8.685114,1.4727497080199042e-06,2.2161411753345685e-06
4,2,4D,9.102982,1.4662739075475265e-06,2.2148630872185834e-06
4,2,4D,9.540955,1.4591961618135183e-06,2.2126649831086702e-06
4,2,4D,10.0,1.4515395601083136e-06,2.209576465397437e-06
4,3,4F,1.0,8.566627765198934e-07,1.006357567942238e-06
4,3,4F,1.048113,8.98987576824118e-07,1.053906847628681e-06
4,3,4F,1.098541,9.411625621442973e-07,1.1013971880061348e-06
4,3,4F,1.151395,9.830579580795926e-07,1.1487176858117796e-06
4,3,4F,1.206793,1.0245471242945366e-06,1.1957611940102011e-06
4,3,4F,1.264855,1.0655073318588086e-06,1.242424746538242e-06
4,3,4F,1.325711,1.1058204787280367e-06,1.2886099175085936e-06
4,3,4F,1.389495,1.1453737393669302e-06,1.3342231175122821e-06
4,3,4F,1.456348,1.184060145253565e-06,1.3791758301792903e-06
4,3,4F,1.526418,1.2217790937327332e-06,1.4233847925523768e-06
4,3,4F,1.599859,1.2584367834096827e-06,1.466772123113481e-06
4,3,4F,1.676833,1.2939465749962145e-06,1.5092654014872797e-06
4,3,4F,1.757511,1.328229277241772e-06,1.5507977039447182e-06
4,3,4F,1.84207,1.3612133583041868e-06,1.5913075988526733e-06
4,3,4F,1.930698,1.3928350836378676e-06,1.6307391061758524e-06
4,3,4F,2.02359,1.4230385821982603e-06,1.6690416250443072e-06
4,3,4F,2.120951,1.4517758434741986e-06,1.706169833264471e-06
4,3,4F,2.222996,1.4790066485546905e-06,1.7420835624825255e-06
4,3,4F,2.329952,1.5046984391010558e-06,1.7767476525142086e-06
4,3,4F,2.442053,1.528826128713923e-06,1.8101317881420323e-06
4,3,4F,2.559548,1.551371861740653e-06,1.8422103214556707e-06
4,3,4F,2.682696,1.572324725045284e-06,1.872962082579193e-06
4,3,4F,2.811769,1.591680418644197e-06,1.902370181394583e-06
4,3,4F,2.947052,1.6094408913829914e-06,1.930421802638307e-06
4,3,4F,3.088844,1.6256139479838584e-06,1.957107996519675e-06
4,3,4F,3.237458,1.6402128338231122e-06,1.98242346678895e-06
4,3,4F,3.393222,1.653255803705743e-06,2.0063663579714047e-06
4,3,4F,3.55648,1.664765680693756e-06,2.0289380432824057e-06
4,3,4F,3.727594,1.674769410728602e-06,2.0501429145489766e-06
4,3,4F,3.90694,1.6832976183807554e-06,2.0699881752860143e-06
4,3,4F,4.094915,1.6903841685803763e-06,2.088483637910592e-06
4,3,4F,4.291934,1.696065738653164e-06,2.10564152592581e-06
4,3,4F,4.498433,1.7003814044265e-06,2.121476281766323e-06
4,3,4F,4.714866,1.7033722436036375e-06,2.136004380870675e-06
4,3,4F,4.941713,1.705080959046278e-06,2.1492441524305695e-06
4,3,4F,5.179475,1.705551524073448e-06,2.161215607163673e-06
4,3,4F,5.428675,1.7048288513877839e-06,2.171940272363908e-06
4,3,4F,5.689866,1.7029584867856523e-06,2.1814410344008206e-06
4,3,4F,5.963623,1.6999863283968997e-06,2.189741988766918e-06
4,3,4F,6.250552,1.6959583718321426e-06,2.196868297708035e-06
4,3,4F,6.551286,1.69092048128614e-06,2.202846055416325e-06
4,3,4F,6.866488,1.6849181863496167e-06,2.207702160717569e-06
4,3,4F,7.196857,1.6779965040131825e-06,2.211464197143558e-06
4,3,4F,7.54312,1.670199785101132e-06,2.214160320245737e-06
4,3,4F,7.906043,1.661571584147084e-06,2.2158191519773965e-06
4,3,4F,8.286428,1.6521545515170122e-06,2.216469681948055e-06
4,3,4F,8.685114,1.641990346399974e-06,2.2161411753345685e-06
4,3,4F,9.102982,1.6311195691264672e-06,2.2148630872185834e-06
4,3,4F,9.540955,1.6195817111434327e-06,2.2126649831086702e-06
4,3,4F,10.0,1.6074151208787766e-06,2.209576465397437e-06
5,0,5S,1.0,1.603722158774029e-06,2.822389663710049e-06
5,0,5S,1.048113,1.644852099820535e-06,2.9062793790874306e-06
5,0,5S,1.098541,1.6844953022947446e-06,2.988356568922513e-06
5,0,5S,1.151395,1.7226197774736105e-06,3.0684958616231046e-06
5,0,5S,1.206793,1.759201925121287e-06,3.146582581302648e-06
5,0,5S,1.264855,1.794225725161644e-06,3.2225126367072227e-06
5,0,5S,1.325711,1.8276819177914477e-06,3.2961923515739302e-06
5,0,5S,1.389495,1.8595671911707795e-06,3.3675382438376926e-06
5,0,5S,1.456348,1.889883393478796e-06,3.4364767607464923e-06
5,0,5S,1.526418,1.9186367835124074e-06,3.5029439765452705e-06
5,0,5S,1.599859,1.945837331243805e-06,3.5668852589592692e-06
5,0,5S,1.676833,1.9714980769489885e-06,3.6282549102598542e-06
5,0,5S,1.757511,1.9956345547755258e-06,3.687015788239481e-06
5,0,5S,1.84207,2.0182642840251817e-06,3.743138911965594e-06
5,0,5S,1.930698,2.0394063290635612e-06,3.7966030567327244e-06
5,0,5S,2.02359,2.0590809266959235e-06,3.847394342193106e-06
5,0,5S,2.120951,2.0773091781092516e-06,3.895505817223332e-06
5,0,5S,2.222996,2.0941128011000568e-06,3.940937044680947e-06
5,0,5S,2.329952,2.1095139372911544e-06,3.983693688823095e-06
5,0,5S,2.442053,2.1235350083768916e-06,4.023787107800771e-06
5,0,5S,2.559548,2.1361986150979095e-06,4.06123395330812e-06
5,0,5S,2.682696,2.1475274725934994e-06,4.096055779156916e-06
5,0,5S,2.811769,2.1575443759630127e-06,4.128278660261755e-06
5,0,5S,2.947052,2.166272190233564e-06,4.1579328232615305e-06
5,0,5S,3.088844,2.17373385942404e-06,4.18505228976637e-06
5,0,5S,3.237458,2.1799524299627724e-06,4.2096745330059745e-06
5,0,5S,3.393222,2.184951084311205e-06,4.2318401484637194e-06
5,0,5S,3.55648,2.188753181230504e-06,4.2515925389101275e-06
5,0,5S,3.727594,2.191382299673813e-06,4.2689776140979945e-06
5,0,5S,3.90694,2.1928622837761315e-06,4.284043505248193e-06
5,0,5S,4.094915,2.193217286838821e-06,4.2968402943388944e-06
5,0,5S,4.291934,2.192471812567357e-06,4.307419758109993e-06
5,0,5S,4.498433,2.190650752126732e-06,4.315835126608003e-06
5,0,5S,4.714866,2.1877794158402927e-06,4.3221408560229805e-06
5,0,5S,4.941713,2.183883558588072e-06,4.326392415507228e-06
5,0,5S,5.179475,2.1789893981720515e-06,4.328646087614257e-06
5,0,5S,5.428675,2.1731236261181975e-06,4.328958781954922e-06
5,0,5S,5.689866,2.166313410584444e-06,4.327387861634426e-06
5,0,5S,5.963623,2.1585863912417193e-06,4.3239909820084484e-06
5,0,5S,6.250552,2.149970666189505e-06,4.31882594127787e-06
5,0,5S,6.551286,2.1404947711526187e-06,4.311950542428626e-06
5,0,5S,6.866488,2.130187651375017e-06,4.303422466015599e-06
5,0,5S,7.196857,2.1190786267715233e-06,4.293299153286172e-06
5,0,5S,7.54312,2.1071973510134654e-06,4.281637699139814e-06
5,0,5S,7.906043,2.094573765304753e-06,4.268494754423928e-06
5,0,5S,8.286428,2.081238047650237e-06,4.253926437073133e-06
5,0,5S,8.685114,2.067220558430101e-06,4.237988251608137e-06
5,0,5S,9.102982,2.0525517830778395e-06,4.220735016521599e-06
5,0,5S,9.540955,2.0372622726220706e-06,4.202220799090927e-06
5,0,5S,10.0,2.0213825828024015e-06,4.182498857172086e-06
5,1,5P,1.0,1.6761621329726359e-06,2.822389663710049e-06
5,1,5P,1.048113,1.7192325585437637e-06,2.9062793790874306e-06
5,1,5P,1.098541,1.7607271587193408e-06,2.988356568922513e-06
5,1,5P,1.151395,1.800608633230039e-06,3.0684958616231046e-06
5,1,5P,1.206793,1.8388488368231697e-06,3.146582581302648e-06
5,1,5P,1.264855,1.875428013047938e-06,3.2225126367072227e-06
5,1,5P,1.325711,1.910334001790779e-06,3.2961923515739302e-06
5,1,5P,1.389495,1.943561439219167e-06,3.3675382438376926e-06
5,1,5P,1.456348,1.97511096696629e-06,3.4364767607464923e-06
5,1,5P,1.526418,2.004988465276627e-06,3.5029439765452705e-06
5,1,5P,1.599859,2.033204322522371e-06,3.5668852589592692e-06
5,1,5P,1.676833,2.0597727510829183e-06,3.6282549102598542e-06
5,1,5P,1.757511,2.084711157142514e-06,3.687015788239481e-06
5,1,5P,1.84207,2.1080395695872855e-06,3.743138911965594e-06
5,1,5P,1.930698,2.1297801309467593e-06,3.7966030567327244e-06
5,1,5P,2.02359,2.149956651289629e-06,3.847394342193106e-06
5,1,5P,2.120951,2.1685942241987907e-06,3.895505817223332e-06
5,1,5P,2.222996,2.185718902451098e-06,3.940937044680947e-06
5,1,5P,2.329952,2.2013574298317824e-06,3.983693688823095e-06
5,1,5P,2.442053,2.215537024624937e-06,4.023787107800771e-06
5,1,5P,2.559548,2.2282852097281975e-06,4.06123395330812e-06
5,1,5P,2.682696,2.2396296840170946e-06,4.096055779156916e-06
5,1,5P,2.811769,2.2495982294976753e-06,4.128278660261755e-06
5,1,5P,2.947052,2.258218648893196e-06,4.1579328232615305e-06
5,1,5P,3.088844,2.2655187285668606e-06,4.18505228976637e-06
5,1,5P,3.237458,2.2715262220427335e-06,4.2096745330059745e-06
5,1,5P,3.393222,2.2762688498095357e-06,4.2318401484637194e-06
5,1,5P,3.55648,2.2797743115414775e-06,4.2515925389101275e-06
5,1,5P,3.727594,2.282070307318638e-06,4.2689776140979945e-06
5,1,5P,3.90694,2.2831845648574844e-06,4.284043505248193e-06
5,1,5P,4.094915,2.2831448701589565e-06,4.2968402943388944e-06
5,1,5P,4.291934,2.2819790993435655e-06,4.307419758109993e-06
5,1,5P,4.498433,2.2797152497722934e-06,4.315835126608003e-06
5,1,5P,4.714866,2.2763814688543467e-06,4.3221408560229805e-06
5,1,5P,4.941713,2.272006079225006e-06,4.326392415507228e-06
5,1,5P,5.179475,2.26661759924543e-06,4.328646087614257e-06
5,1,5P,5.428675,2.2602447580355164e-06,4.328958781954922e-06
5,1,5P,5.689866,2.2529165045022073e-06,4.327387861634426e-06
5,1,5P,5.963623,2.244662010066941e-06,4.3239909820084484e-06
5,1,5P,6.250552,2.2355106650225748e-06,4.31882594127787e-06
5,1,5P,6.551286,2.2254920686552797e-06,4.311950542428626e-06
5,1,5P,6.866488,2.214636013443516e-06,4.303422466015599e-06
5,1,5P,7.196857,2.2029724637875243e-06,4.293299153286172e-06
5,1,5P,7.54312,2.190531529824428e-06,4.281637699139814e-06
5,1,5P,7.906043,2.1773434369444827e-06,4.268494754423928e-06
5,1,5P,8.286428,2.1634384916450824e-06,4.253926437073133e-06
5,1,5P,8.685114,2.148847044346094e-06,4.237988251608137e-06
5,1,5P,9.102982,2.1335994497509813e-06,4.220735016521599e-06
5,1,5P,9.540955,2.117726025282686e-06,4.202220799090927e-06
5,1,5P,10.0,2.1012570080617936e-06,4.182498857172086e-06
5,2,5D,1.0,1.831224669392435e-06,2.822389663710049e-06
5,2,5D,1.048113,1.8787743895120071e-06,2.9062793790874306e-06
5,2,5D,1.098541,1.9245683431268057e-06,2.988356568922513e-06
5,2,5D,1.151395,1.968556145559384e-06,3.0684958616231046e-06
5,2,5D,1.206793,2.0106978155288297e-06,3.146582581302648e-06
5,2,5D,1.264855,2.0509630971732447e-06,3.2225126367072227e-06
5,2,5D,1.325711,2.089330738191334e-06,3.2961923515739302e-06
5,2,5D,1.389495,2.125787741139335e-06,3.3675382438376926e-06
5,2,5D,1.456348,2.16032860363226e-06,3.4364767607464923e-06
5,2,5D,1.526418,2.1929545616633943e-06,3.5029439765452705e-06
5,2,5D,1.599859,2.2236728485360657e-06,3.5668852589592692e-06
5,2,5D,1.676833,2.2524959800616367e-06,3.6282549102598542e-06
5,2,5D,1.757511,2.2794410747823656e-06,3.687015788239481e-06
5,2,5D,1.84207,2.3045292160889594e-06,3.743138911965594e-06
5,2,5D,1.930698,2.327784861277205e-06,3.7966030567327244e-06
5,2,5D,2.02359,2.349235300875297e-06,3.847394342193106e-06
5,2,5D,2.120951,2.368910170013638e-06,3.895505817223332e-06
5,2,5D,2.222996,2.386841012231643e-06,3.940937044680947e-06
5,2,5D,2.329952,2.4030608949399823e-06,3.983693688823095e-06
5,2,5D,2.442053,2.4176040747891955e-06,4.023787107800771e-06
5,2,5D,2.559548,2.430505710433705e-06,4.06123395330812e-06
5,2,5D,2.682696,2.441801619611989e-06,4.096055779156916e-06
5,2,5D,2.811769,2.4515280770700478e-06,4.128278660261755e-06
5,2,5D,2.947052,2.459721649612466e-06,4.1579328232615305e-06
5,2,5D,3.088844,2.4664190644471634e-06,4.18505228976637e-06
5,2,5D,3.237458,2.4716571069702987e-06,4.2096745330059745e-06
5,2,5D,3.393222,2.4754725441926333e-06,4.2318401484637194e-06
5,2,5D,3.55648,2.477902070117926e-06,4.2515925389101275e-06
5,2,5D,3.727594,2.4789822695320157e-06,4.2689776140979945e-06
5,2,5D,3.90694,2.478749596837924e-06,4.284043505248193e-06
5,2,5D,4.094915,2.477240366771848e-06,4.2968402943388944e-06
5,2,5D,4.291934,2.4744907540553637e-06,4.307419758109993e-06
5,2,5D,4.498433,2.4705367992810177e-06,4.315835126608003e-06
5,2,5D,4.714866,2.4654144185928626e-06,4.3221408560229805e-06
5,2,5D,4.941713,2.4591594150108674e-06,4.326392415507228e-06
5,2,5D,5.179475,2.45180748955689e-06,4.328646087614257e-06
5,2,5D,5.428675,2.4433942506657174e-06,4.328958781954922e-06
5,2,5D,5.689866,2.433955220699942e-06,4.327387861634426e-06
5,2,5D,5.963623,2.4235258387220305e-06,4.3239909820084484e-06
5,2,5D,6.250552,2.4121414589985087e-06,4.31882594127787e-06
5,2,5D,6.551286,2.3998373450069365e-06,4.311950542428626e-06
5,2,5D,6.866488,2.3866486589740805e-06,4.303422466015599e-06
5,2,5D,7.196857,2.3726104471834185e-06,4.293299153286172e-06
5,2,5D,7.54312,2.357757621445355e-06,4.281637699139814e-06
5,2,5D,7.906043,2.3421249372221333e-06,4.268494754423928e-06
5,2,5D,8.286428,2.3257469689437647e-06,4.253926437073133e-06
5,2,5D,8.685114,2.3086580830482628e-06,4.237988251608137e-06
5,2,5D,9.102982,2.2908924092394645e-06,4.220735016521599e-06
5,2,5D,9.540955,2.2724838103913616e-06,4.202220799090927e-06
5,2,5D,10.0,2.2534658514527976e-06,4.182498857172086e-06
5,3,5F,1.0,2.0624281300028474e-06,2.822389663710049e-06
5,3,5F,1.048113,2.1169589876402538e-06,2.9062793790874306e-06
5,3,5F,1.098541,2.1694313258134925e-06,2.988356568922513e-06
5,3,5F,1.151395,2.2197742438593015e-06,3.0684958616231046e-06
5,3,5F,1.206793,2.2679295123448587e-06,3.146582581302648e-06
5,3,5F,1.264855,2.3138509476364966e-06,3.2225126367072227e-06
5,3,5F,1.325711,2.3575037122657585e-06,3.2961923515739302e-06
5,3,5F,1.389495,2.398863559245472e-06,3.3675382438376926e-06
5,3,5F,1.456348,2.4379160377424113e-06,3.4364767607464923e-06
5,3,5F,1.526418,2.4746556764630428e-06,3.5029439765452705e-06
5,3,5F,1.599859,2.5090851598075937e-06,3.5668852589592692e-06
5,3,5F,1.676833,2.541214510352123e-06,3.6282549102598542e-06
5,3,5F,1.757511,2.571060289587128e-06,3.687015788239481e-06
5,3,5F,1.84207,2.598644827131988e-06,3.743138911965594e-06
5,3,5F,1.930698,2.6239954869116032e-06,3.7966030567327244e-06
5,3,5F,2.02359,2.647143977073629e-06,3.847394342193106e-06
5,3,5F,2.120951,2.6681257087834775e-06,3.895505817223332e-06
5,3,5F,2.222996,2.6869792074930633e-06,3.940937044680947e-06
5,3,5F,2.329952,2.7037455788627166e-06,3.983693688823095e-06
5,3,5F,2.442053,2.7184680302394437e-06,4.023787107800771e-06
5,3,5F,2.559548,2.7311914474664854e-06,4.06123395330812e-06
5,3,5F,2.682696,2.7419620258192693e-06,4.096055779156916e-06
5,3,5F,2.811769,2.750826953026661e-06,4.128278660261755e-06
5,3,5F,2.947052,2.757834141635016e-06,4.1579328232615305e-06
5,3,5F,3.088844,2.763032007395392e-06,4.18505228976637e-06
5,3,5F,3.237458,2.7664692898907547e-06,4.2096745330059745e-06
5,3,5F,3.393222,2.7681949112605726e-06,4.2318401484637194e-06
5,3,5F,3.55648,2.768257868617763e-06,4.2515925389101275e-06
5,3,5F,3.727594,2.7667071555834015e-06,4.2689776140979945e-06
5,3,5F,3.90694,2.763591708286141e-06,4.284043505248193e-06
5,3,5F,4.094915,2.758960371186481e-06,4.2968402943388944e-06
5,3,5F,4.291934,2.752861878191943e-06,4.307419758109993e-06
5,3,5F,4.498433,2.745344844728433e-06,4.315835126608003e-06
5,3,5F,4.714866,2.7364577667238954e-06,4.3221408560229805e-06
5,3,5F,4.941713,2.726249022837532e-06,4.326392415507228e-06
5,3,5F,5.179475,2.714766876721634e-06,4.328646087614257e-06
5,3,5F,5.428675,2.7020594766188794e-06,4.328958781954922e-06
5,3,5F,5.689866,2.68817485015656e-06,4.327387861634426e-06
5,3,5F,5.963623,2.6731608927777792e-06,4.3239909820084484e-06
5,3,5F,6.250552,2.6570653488234215e-06,4.31882594127787e-06
5,3,5F,6.551286,2.6399357848223726e-06,4.311950542428626e-06
5,3,5F,6.866488,2.6218195550382053e-06,4.303422466015599e-06
5,3,5F,7.196857,2.6027637597388772e-06,4.293299153286172e-06
5,3,5F,7.54312,2.5828151969884656e-06,4.281637699139814e-06
5,3,5F,7.906043,2.5620203089997057e-06,4.268494754423928e-06
5,3,5F,8.286428,2.540425124232968e-06,4.253926437073133e-06
5,3,5F,8.685114,2.5180751964882263e-06,4.237988251608137e-06
5,3,5F,9.102982,2.495015542223684e-06,4.220735016521599e-06
5,3,5F,9.540955,2.4712905772640888e-06,4.202220799090927e-06
5,3,5F,10.0,2.446944053951444e-06,4.182498857172086e-06
5,4,5G,1.0,2.35333012063683e-06,2.822389663710049e-06
5,4,5G,1.048113,2.4188278854107075e-06,2.9062793790874306e-06
5,4,5G,1.098541,2.4818948129758473e-06,2.988356568922513e-06
5,4,5G,1.151395,2.5424093474987395e-06,3.0684958616231046e-06
5,4,5G,1.206793,2.6002652974591996e-06,3.146582581302648e-06
5,4,5G,1.264855,2.6553716231310666e-06,3.2225126367072227e-06
5,4,5G,1.325711,2.7076521061953673e-06,3.2961923515739302e-06
5,4,5G,1.389495,2.757044915626474e-06,3.3675382438376926e-06
5,4,5G,1.456348,2.8035020841782897e-06,3.4364767607464923e-06
5,4,5G,1.526418,2.846988909656498e-06,3.5029439765452705e-06
5,4,5G,1.599859,2.8874832947342654e-06,3.5668852589592692e-06
5,4,5G,1.676833,2.924975038402224e-06,3.6282549102598542e-06
5,4,5G,1.757511,2.9594650912954407e-06,3.687015788239481e-06
5,4,5G,1.84207,2.9909647861686123e-06,3.743138911965594e-06
5,4,5G,1.930698,3.019495053752843e-06,3.7966030567327244e-06
5,4,5G,2.02359,3.0450856331743238e-06,3.847394342193106e-06
5,4,5G,2.120951,3.067774285089995e-06,3.895505817223332e-06
5,4,5G,2.222996,3.0876060147298073e-06,3.940937044680947e-06
5,4,5G,2.329952,3.104632311149548e-06,3.983693688823095e-06
5,4,5G,2.442053,3.1189104081999857e-06,4.023787107800771e-06
5,4,5G,2.559548,3.13050257200397e-06,4.06123395330812e-06
5,4,5G,2.682696,3.139475419090268e-06,4.096055779156916e-06
5,4,5G,2.811769,3.145899268742291e-06,4.128278660261755e-06
5,4,5G,2.947052,3.1498475325593526e-06,4.1579328232615305e-06
5,4,5G,3.088844,3.1513961436757626e-06,4.18505228976637e-06
5,4,5G,3.237458,3.1506230275208954e-06,4.2096745330059745e-06
5,4,5G,3.393222,3.147607615419245e-06,4.2318401484637194e-06
5,4,5G,3.55648,3.1424304017195878e-06,4.2515925389101275e-06
5,4,5G,3.727594,3.1351725445113872e-06,4.2689776140979945e-06
5,4,5G,3.90694,3.1259155093475387e-06,4.284043505248193e-06
5,4,5G,4.094915,3.1147407547653496e-06,4.2968402943388944e-06
5,4,5G,4.291934,3.1017294578062105e-06,4.307419758109993e-06
5,4,5G,4.498433,3.086962277204644e-06,4.315835126608003e-06
5,4,5G,4.714866,3.0705191514730702e-06,4.3221408560229805e-06
5,4,5G,4.941713,3.0524791287693402e-06,4.326392415507228e-06
5,4,5G,5.179475,3.0329202252126224e-06,4.328646087614257e-06
5,4,5G,5.428675,3.011919308214207e-06,4.328958781954922e-06
5,4,5G,5.689866,2.989552001409413e-06,4.327387861634426e-06
5,4,5G,5.963623,2.965892607903233e-06,4.3239909820084484e-06
5,4,5G,6.250552,2.9410140487576066e-06,4.31882594127787e-06
5,4,5G,6.551286,2.914987813929707e-06,4.311950542428626e-06
5,4,5G,6.866488,2.8878839231944183e-06,4.303422466015599e-06
5,4,5G,7.196857,2.8597708949266102e-06,4.293299153286172e-06
5,4,5G,7.54312,2.8307157209592306e-06,4.281637699139814e-06
5,4,5G,7.906043,2.8007838460553913e-06,4.268494754423928e-06
5,4,5G,8.286428,2.770039150825111e-06,4.253926437073133e-06
5,4,5G,8.685114,2.7385439371744657e-06,4.237988251608137e-06
5,4,5G,9.102982,2.7063589155951133e-06,4.220735016521599e-06
5,4,5G,9.540955,2.673543193787762e-06,4.202220799090927e-06
5,4,5G,10.0,2.6401542662686844e-06,4.182498857172086e-06
6,0,6S,1.0,2.688557550690733e-06,5.9099991509203045e-06
6,0,6S,1.048113,2.731959119611381e-06,6.025889625116773e-06
6,0,6S,1.098541,2.7732941358457884e-06,6.137436532954392e-06
6,0,6S,1.151395,2.8125747110736565e-06,6.244557258358511e-06
6,0,6S,1.206793,2.8498166087723622e-06,6.347184129244784e-06
6,0,6S,1.264855,2.885038484670252e-06,6.445263741854671e-06
6,0,6S,1.325711,2.9182611999803856e-06,6.538756264660891e-06
6,0,6S,1.389495,2.94950721456403e-06,6.627634728900875e-06
6,0,6S,1.456348,2.9788000647443764e-06,6.711884312058225e-06
6,0,6S,1.526418,3.0061639279890463e-06,6.791501619906402e-06
6,0,6S,1.599859,3.0316232741982886e-06,6.866493972059742e-06
6,0,6S,1.676833,3.055202600969891e-06,6.936878695347467e-06
6,0,6S,1.757511,3.076926248053967e-06,7.00268242873881e-06
6,0,6S,1.84207,3.096818284343507e-06,7.063940443002459e-06
6,0,6S,1.930698,3.11490245923916e-06,7.120695977781642e-06
6,0,6S,2.02359,3.1312022091295525e-06,7.172999598306714e-06
6,0,6S,2.120951,3.1457407090711435e-06,7.220908573549022e-06
6,0,6S,2.222996,3.1585409595401113e-06,7.264486277241855e-06
6,0,6S,2.329952,3.1696258983450815e-06,7.303801612854462e-06
6,0,6S,2.442053,3.1790185283931476e-06,7.33892846330158e-06
6,0,6S,2.559548,3.186742052930933e-06,7.369945165901567e-06
6,0,6S,2.682696,3.1928200110604456e-06,7.396934012858675e-06
6,0,6S,2.811769,3.19727640766764e-06,7.419980777337215e-06
6,0,6S,2.947052,3.200135833307537e-06,7.439174265014766e-06
6,0,6S,3.088844,3.20142357097308e-06,7.454605890846299e-06
6,0,6S,3.237458,3.2011656879547862e-06,7.466369280638512e-06
6,0,6S,3.393222,3.199389112107916e-06,7.4745598969222315e-06
6,0,6S,3.55648,3.1961216927363873e-06,7.47927468851789e-06
6,0,6S,3.727594,3.1913922469523413e-06,7.480611763113312e-06
6,0,6S,3.90694,3.185230592773308e-06,7.47867008211249e-06
6,0,6S,4.094915,3.1776675703925057e-06,7.473549176966863e-06
6,0,6S,4.291934,3.1687350530352394e-06,7.4653488861655645e-06
6,0,6S,4.498433,3.158465948641599e-06,7.454169112036438e-06
6,0,6S,4.714866,3.1468941933447923e-06,7.440109596494333e-06
6,0,6S,4.941713,3.1340547373982794e-06,7.423269714865896e-06
6,0,6S,5.179475,3.1199835238919005e-06,7.403748286919605e-06
6,0,6S,5.428675,3.104717460327013e-06,7.381643404235508e-06
6,0,6S,5.689866,3.088294382921727e-06,7.357052273059636e-06
6,0,6S,5.963623,3.070753013405165e-06,7.3300710718030644e-06
6,0,6S,6.250552,3.0521329080378724e-06,7.3007948223639265e-06
6,0,6S,6.551286,3.032474398656543e-06,7.26931727447209e-06
6,0,6S,6.866488,3.0118185256700643e-06,7.2357308022797815e-06
6,0,6S,7.196857,2.9902069631100856e-06,7.200126312446907e-06
6,0,6S,7.54312,2.9676819360409923e-06,7.162593162996742e-06
6,0,6S,7.906043,2.9442861308407893e-06,7.123219092245361e-06
6,0,6S,8.286428,2.9200625990584357e-06,7.082090157136755e-06
6,0,6S,8.685114,2.8950546557221095e-06,7.039290680344372e-06
6,0,6S,9.102982,2.8693057731095056e-06,6.994903205528791e-06
6,0,6S,9.540955,2.8428594710926484e-06,6.9490084601700525e-06
