sparse_idx,i,j,label_i,label_j,source,g_i,g_j,E_pn_eV
205,6,24,4S,7F,CCC,2,14,0.57269311
206,6,25,4S,7G,CCC,2,18,0.57269311
207,6,26,4S,7H,CCC,2,22,0.57269311
208,6,27,4S,7I,CCC,2,26,0.57269311
209,6,28,4S,8S,CCC,2,2,0.63777187
210,6,29,4S,8P,CCC,2,6,0.63777187
211,6,30,4S,8D,CCC,2,10,0.63777187
212,6,31,4S,8F,CCC,2,14,0.63777187
213,6,32,4S,8G,CCC,2,18,0.63777187
214,6,33,4S,8H,CCC,2,22,0.63777187
215,6,34,4S,8I,CCC,2,26,0.63777187
216,6,35,4S,8J,CCC,2,30,0.63777187
217,7,10,4P,5S,CCC,6,2,0.3061305
218,7,11,4P,5P,CCC,6,6,0.3061305
219,7,12,4P,5D,CCC,6,10,0.3061305
220,7,13,4P,5F,CCC,6,14,0.3061305
221,7,14,4P,5G,CCC,6,18,0.3061305
222,7,15,4P,6S,CCC,6,2,0.47242361
223,7,16,4P,6P,CCC,6,6,0.47242361
224,7,17,4P,6D,CCC,6,10,0.47242361
225,7,18,4P,6F,CCC,6,14,0.47242361
226,7,19,4P,6G,CCC,6,18,0.47242361
227,7,20,4P,6H,CCC,6,22,0.47242361
228,7,21,4P,7S,CCC,6,2,0.57269311
229,7,22,4P,7P,CCC,6,6,0.57269311
230,7,23,4P,7D,CCC,6,10,0.57269311
231,7,24,4P,7F,CCC,6,14,0.57269311
232,7,25,4P,7G,CCC,6,18,0.57269311
233,7,26,4P,7H,CCC,6,22,0.57269311
234,7,27,4P,7I,CCC,6,26,0.57269311
235,7,28,4P,8S,CCC,6,2,0.63777187
236,7,29,4P,8P,CCC,6,6,0.63777187
237,7,30,4P,8D,CCC,6,10,0.63777187
238,7,31,4P,8F,CCC,6,14,0.63777187
239,7,32,4P,8G,CCC,6,18,0.63777187
240,7,33,4P,8H,CCC,6,22,0.63777187
241,7,34,4P,8I,CCC,6,26,0.63777187
242,7,35,4P,8J,CCC,6,30,0.63777187
