ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
7,5,8,6,13.393320,50,2.174140e-11,7H.8I
8,1,6,1,13.393320,50,8.386848e-15,8P.6P
6,5,4,1,13.228975,58,4.396444e-15,6H.4P
9,0,1,0,13.500000,47,7.462754e-20,9S.1S
9,4,7,6,13.500000,47,1.962158e-14,9G.7I
10,2,9,2,13.500000,47,7.037111e-13,:D.9D
9,4,8,2,13.500000,47,1.289250e-12,9G.8D
9,0,8,4,13.500000,47,6.563863e-15,9S.8G
10,1,9,4,13.500000,47,5.116117e-14,:P.9G
9,2,5,4,13.500000,47,1.440746e-15,9D.5G
9,1,5,2,13.500000,47,1.103031e-15,9P.5D
10,0,4,2,13.500000,47,6.297836e-17,:S.4D
7,5,7,2,13.328199,55,6.642271e-10,7H.7D
5,2,7,5,13.328199,55,1.075029e-11,5D.7H
6,4,6,5,13.228975,58,2.505133e-09,6G.6H
8,5,9,5,13.500000,47,2.187301e-13,8H.9H
9,2,6,5,13.500000,47,4.057610e-15,9D.6H
10,4,7,5,13.500000,47,1.141395e-14,:G.7H
5,0,9,4,13.500000,47,1.939756e-15,5S.9G
6,1,8,4,13.393320,50,3.673971e-12,6P.8G
6,2,8,2,13.393320,50,5.141320e-12,6D.8D
5,4,9,2,13.500000,47,1.828865e-14,5G.9D
5,1,4,2,13.061780,63,5.281334e-15,5P.4D
6,0,5,2,13.228975,58,3.738378e-15,6S.5D
6,4,5,4,13.228975,58,3.391143e-14,6G.5G
9,0,7,2,13.500000,47,4.948100e-15,9S.7D
10,1,6,2,13.500000,47,1.662528e-15,:P.6D
10,2,6,4,13.500000,47,2.325355e-15,:D.6G
9,4,7,4,13.500000,47,2.245267e-14,9G.7G
7,5,8,4,13.393320,50,1.909513e-11,7H.8G
6,0,9,5,13.500000,47,3.626366e-15,6S.9H
5,1,8,5,13.393320,50,1.752697e-12,5P.8H
6,4,9,8,13.500000,47,2.683791e-14,6G.9K
9,2,9,8,13.500000,47,3.452749e-13,9D.9K
10,0,8,5,13.500000,47,2.542657e-15,:S.8H
9,1,9,5,13.500000,47,1.817104e-13,9P.9H
6,2,7,4,13.328199,55,1.499552e-11,6D.7G
5,4,6,4,13.228975,58,1.418063e-12,5G.6G
8,5,5,2,13.393320,50,4.001604e-15,8H.5D
5,0,6,2,13.228975,58,2.168259e-13,5S.6D
6,1,7,2,13.328199,55,1.289530e-11,6P.7D
